DATE,CPMNACSAB1GQCH
1980-01-01,48770.9
1980-04-01,49460.3
1980-07-01,50011.8
1980-10-01,50644.2
1981-01-01,51609.7
1981-04-01,52818.3
1981-07-01,53967.0
1981-10-01,55062.0
1982-01-01,55771.4
1982-04-01,56336.3
1982-07-01,56847.7
1982-10-01,57214.0
1983-01-01,57189.3
1983-04-01,57761.6
1983-07-01,58550.8
1983-10-01,59529.2
1984-01-01,60765.6
1984-04-01,61616.9
1984-07-01,62781.0
1984-10-01,63875.4
1985-01-01,64760.0
1985-04-01,65653.6
1985-07-01,66252.6
1985-10-01,67435.4
1986-01-01,68071.5
1986-04-01,69285.9
1986-07-01,69768.9
1986-10-01,69974.1
1987-01-01,70414.1
1987-04-01,71172.2
1987-07-01,72623.1
1987-10-01,73520.9
1988-01-01,74480.1
1988-04-01,75585.4
1988-07-01,76894.3
1988-10-01,78563.7
1989-01-01,79695.0
1989-04-01,81910.8
1989-07-01,83046.1
1989-10-01,85057.1
1990-01-01,87536.6
1990-04-01,89062.4
1990-07-01,89990.9
1990-10-01,90992.6
1991-01-01,91986.2
1991-04-01,92997.0
1991-07-01,93898.7
1991-10-01,94504.3
1992-01-01,95310.6
1992-04-01,95571.9
1992-07-01,95204.5
1992-10-01,95076.8
1993-01-01,95522.2
1993-04-01,96929.4
1993-07-01,98113.2
1993-10-01,98979.6
1994-01-01,99575.7
1994-04-01,99219.4
1994-07-01,100085.1
1994-10-01,100354.5
1995-01-01,100327.2
1995-04-01,100561.8
1995-07-01,101503.2
1995-10-01,101678.6
1996-01-01,102301.6
1996-04-01,101832.3
1996-07-01,101434.1
1996-10-01,101890.4
1997-01-01,102156.5
1997-04-01,103277.2
1997-07-01,104678.1
1997-10-01,105702.9
1998-01-01,106197.3
1998-04-01,107119.9
1998-07-01,107334.1
1998-10-01,106747.4
1999-01-01,106999.5
1999-04-01,107811.9
1999-07-01,108896.5
1999-10-01,111707.6
2000-01-01,112984.8
2000-04-01,114078.9
2000-07-01,115115.4
2000-10-01,116709.1
2001-01-01,117176.2
2001-04-01,118091.5
2001-07-01,117602.0
2001-10-01,117387.7
2002-01-01,117096.9
2002-04-01,117402.1
2002-07-01,117581.3
2002-10-01,117307.7
2003-01-01,117151.1
2003-04-01,117674.5
2003-07-01,118963.0
2003-10-01,120419.4
2004-01-01,121355.1
2004-04-01,121951.6
2004-07-01,122663.7
2004-10-01,123221.3
2005-01-01,124479.7
2005-04-01,125909.4
2005-07-01,127629.6
2005-10-01,129579.6
2006-01-01,131983.8
2006-04-01,133566.2
2006-07-01,135191.0
2006-10-01,137476.6
2007-01-01,139962.7
2007-04-01,142327.7
2007-07-01,144402.3
2007-10-01,146533.9
2008-01-01,148056.9
2008-04-01,150099.3
2008-07-01,150472.0
2008-10-01,148172.2
2009-01-01,145992.3
2009-04-01,146041.4
2009-07-01,147387.7
2009-10-01,147990.5
2010-01-01,149726.4
2010-04-01,150891.6
2010-07-01,151984.1
2010-10-01,153503.8
2011-01-01,154214.7
2011-04-01,155016.9
2011-07-01,154379.8
2011-10-01,155026.4
2012-01-01,155390.0
2012-04-01,155098.6
2012-07-01,156063.6
2012-10-01,156793.5
2013-01-01,157107.2
2013-04-01,158662.4
2013-07-01,159377.9
2013-10-01,159620.7
2014-01-01,159999.5
2014-04-01,160407.8
2014-07-01,161147.9
2014-10-01,161994.1
2015-01-01,161413.6
2015-04-01,160849.7
2015-07-01,161365.3
2015-10-01,161956.9
2016-01-01,161793.4
2016-04-01,162907.1
2016-07-01,162679.7
