DATE,EUNNGDP
1995-01-01,1407794.5
1995-04-01,1426252.4
1995-07-01,1449304.4
1995-10-01,1464498.9
1996-01-01,1475916.5
1996-04-01,1493986.8
1996-07-01,1510078.7
1996-10-01,1512903.7
1997-01-01,1510207.0
1997-04-01,1528366.5
1997-07-01,1539245.6
1997-10-01,1563843.7
1998-01-01,1569824.2
1998-04-01,1586436.0
1998-07-01,1603051.9
1998-10-01,1621821.8
1999-01-01,1638790.6
1999-04-01,1653535.7
1999-07-01,1676107.7
1999-10-01,1702583.1
2000-01-01,1727527.9
2000-04-01,1749785.4
2000-07-01,1769217.5
2000-10-01,1789127.5
2001-01-01,1819535.3
2001-04-01,1833292.7
2001-07-01,1845865.7
2001-10-01,1861459.0
2002-01-01,1878771.0
2002-04-01,1893621.0
2002-07-01,1914862.8
2002-10-01,1926844.8
2003-01-01,1933394.7
2003-04-01,1943682.5
2003-07-01,1970145.8
2003-10-01,1987727.3
2004-01-01,2008924.3
2004-04-01,2030988.9
2004-07-01,2046450.0
2004-10-01,2065186.2
2005-01-01,2077619.5
2005-04-01,2101096.1
2005-07-01,2124298.1
2005-10-01,2152910.2
2006-01-01,2179117.4
2006-04-01,2214251.9
2006-07-01,2239570.9
2006-10-01,2275333.7
2007-01-01,2313545.1
2007-04-01,2338503.0
2007-07-01,2361534.1
2007-10-01,2391399.7
2008-01-01,2413733.0
2008-04-01,2419078.2
2008-07-01,2412138.0
2008-10-01,2382407.3
2009-01-01,2316095.1
2009-04-01,2310528.5
2009-07-01,2320541.5
2009-10-01,2338388.0
2010-01-01,2348213.2
2010-04-01,2377506.3
2010-07-01,2395921.4
2010-10-01,2414874.2
2011-01-01,2438999.3
2011-04-01,2445426.4
2011-07-01,2454439.6
2011-10-01,2455791.2
2012-01-01,2458049.4
2012-04-01,2457605.1
2012-07-01,2461203.8
2012-10-01,2459443.8
2013-01-01,2461487.3
2013-04-01,2481025.7
2013-07-01,2491819.8
2013-10-01,2502200.3
2014-01-01,2517862.7
2014-04-01,2524845.9
2014-07-01,2539662.1
2014-10-01,2559500.2
2015-01-01,2587894.3
2015-04-01,2605815.1
2015-07-01,2618288.6
2015-10-01,2643255.1
2016-01-01,2660344.8
2016-04-01,2671419.3
2016-07-01,2686742.8
