"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-01",98.28572,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-02",98.43707,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-03",98.67145,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-04",98.86419,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-05",99.05321,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-06",99.23038,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-07",99.46861,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-08",99.75646,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-09",100.1597,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-10",100.4777,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-11",100.575,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1997-12",100.5357,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-01",100.4134,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-02",100.2085,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-03",100.0495,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-04",100.0058,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-05",100.0133,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-06",99.97556,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-07",99.82468,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-08",99.60015,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-09",99.35813,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-10",99.12505,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-11",99.02315,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1998-12",99.05463,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1999-01",99.13293,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1999-02",99.19101,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1999-03",99.23737,
"CHE","BCI","AMPLITUD","LTRENDIDX","M","1999-04",99.33206,
