Date,ChfEuroExchangerateMonthlyAverage,ChfEuroExchangerateMonthlyEnd,ChfDollarExchangerateMonthlyAverage,ChfDollarExchangerateMonthlyEnd,ForeignCurrencyInvestments,GoldHoldings,ReservePositionsIMF,CHFsecurities,MonetaryAssistanceLoans,OtherAssets,TotalAssets,ConsumerPriceIndex,BusinessConfidenceIndex,CallMoneyRate,EuroGDP,SwissGDP
1999-01,1.6052,1.6131,1.3824,1.4157,50297.3,11930.2,3070.7,4996.5,767.9,1206,88349.3,0.07294661,99.13293,1,1638790.6,106999.5
1999-02,1.5983,1.5886,1.4256,1.4421,48823.4,11930.2,3150.4,4984.5,711.5,1249.8,86509.3,0.2880578,99.19101,1.125,1643449.7270536,107262.550432548
1999-03,1.5948,1.5967,1.4647,1.4876,50415.5,11923.3,3375.4,4947.6,283.2,1507.3,88255.4,0.467066,99.23737,1,1648142.08960307,107549.429989058
1999-04,1.6019,1.6128,1.4962,1.5208,50201.2,11923.3,3122.5,4966.6,283.2,1200.1,89016.3,0.5937113,99.33206,0.875,1653535.7,107811.9
1999-05,1.6028,1.5935,1.5071,1.523,49162.1,11923.3,3122.6,4935.7,283.2,1265.6,91899.4,0.5757557,99.40008,0.875,1660132.03571485,108036.019349027
1999-06,1.5948,1.6017,1.5357,1.5494,51930.8,11917.8,3138.3,4819.9,290.1,1145.3,94496.2,0.5740913,99.43098,1,1667766.43469335,108345.037132511
1999-07,1.6041,1.5961,1.5499,1.4897,48597.1,11917.8,3138.3,4850.6,290.1,1186,92512.6,0.7350152,99.57095,0.75,1676107.7,108896.5
1999-08,1.6003,1.6003,1.5089,1.5192,50633.3,11917.8,2813.7,4883,290.1,1177.6,95865.7,0.9458914,99.85809,0.75,1684843.98193882,109778.568467638
1999-09,1.6016,1.5978,1.5246,1.496,50641.8,11929.2,2722.7,4828.1,290.4,1192.1,91685.1,1.217444,100.2492,1.125,1693740.81977171,110801.858517939
1999-10,1.594,1.6041,1.4876,1.5242,50851.5,11929.2,2718.1,4870.9,290.4,1176.8,90856.4,1.236512,100.5371,0.875,1702583.1,111707.6
1999-11,1.6049,1.6024,1.5504,1.5877,50216.2,11929.2,2550.2,4897.3,290.4,1498,91827.6,1.304355,100.6761,0.875,1711188.91060391,112305.65122486
1999-12,1.6012,1.6059,1.5819,1.598,54608.2,11938.6,2677.6,4884.9,306.5,1139.9,104838.9,1.668104,100.8362,1.09375,1719509.1454791,112680.384351292
2000-01,1.6097,1.6093,1.5854,1.6405,48824.6,11938.6,2614,4910.3,306.5,1201.3,92443.5,1.585378,101.0011,2.0625,1727527.9,112984.8
2000-02,1.6069,1.6066,1.6316,1.644,46080.6,11938.6,2614.1,4992.3,306.5,1198.4,89601.8,1.623736,101.309,1.8,1735235.53490476,113337.556262548
2000-03,1.6046,1.5918,1.6616,1.6626,46833.3,11944.7,2699.4,4820,313.9,1115.3,89021.5,1.482962,101.6789,2.35,1742647.47238602,113719.941113931
2000-04,1.5738,1.5721,1.6605,1.7291,46988,11944.7,2399.6,4863.3,313.9,1221.3,85144.1,1.402418,101.8624,2.95,1749785.4,114078.9
2000-05,1.5565,1.5701,1.7164,1.686,47874,39273.7,2399.7,4889.9,259.1,1174.8,116894,1.580496,101.9659,2.7,1756650.46829553,114384.738539761
2000-06,1.5598,1.5583,1.6419,1.625,46470.4,38396.6,2272.9,4870.8,255.8,1115.4,118483.1,1.839098,102.0634,3.05,1763161.67979168,114701.203044837
2000-07,1.5508,1.5483,1.6488,1.6757,47759,38105.9,2273.1,4795.6,270.8,1181.1,117847.2,1.888741,102.0778,3,1769217.5,115115.4
2000-08,1.5512,1.5476,1.7154,1.7323,48323.3,37730.5,2139.2,4940.8,270.8,1284.1,117132.6,1.124735,102.0806,2.96,1774919.73635751,115673.459948776
2000-09,1.53,1.5245,1.7552,1.73,49783.4,37701.2,2158.5,5068.9,275.9,1142.7,120754,1.439921,102.1076,3.1,1781183.56400285,116257.609669687
2000-10,1.5133,1.5195,1.7685,1.8086,50382.3,37433,2158.7,5109.2,263.4,1324.2,116333.9,1.332339,102.1797,3.08,1789127.5,116709.1
2000-11,1.5213,1.5066,1.7767,1.732,50925.9,37166.5,2155.6,5211.8,278.8,1109.9,115741.5,1.912458,102.2113,2.93,1799325.99368178,116924.592035504
2000-12,1.5135,1.5245,1.6874,1.6353,50452.8,34724.8,2078.8,5409.8,352.4,1353,119098.4,1.4934,102.1297,3.5,1810177.22345621,117022.387906049
2001-01,1.5291,1.5271,1.6291,1.6427,47351.7789478,34481.18875052,2186.69742289,5522.43666125,352.41512111,1376.73657203,109511.41437349,1.295461,101.9312,3.36,1819535.3,117176.2
2001-02,1.5355,1.54,1.6661,1.6723,49032.46698168,34258.96469241,2110.38886787,5580.94921528,352.41512111,1386.27718979,110346.25542753,0.779637,101.6132,3.3,1825850.6666931,117499.764501799
2001-03,1.5357,1.5265,1.6878,1.7275,49456.31715671,34122.87561044,2149.31617973,5648.77643651,357.01548889,1164.8327702,112209.76209034,0.9757597,101.2236,3.35,1829959.09772792,117866.912780192
2001-04,1.5287,1.5371,1.712,1.7251,51072.71381816,33908.16781474,2094.77233035,5707.39748685,357.01548889,1113.10439973,111220.43014622,1.166648,100.8535,3.1,1833292.7,118091.5
2001-05,1.5337,1.5207,1.7519,1.796,50967.776678,33655.33760264,2242.06899301,5693.58533452,357.01548889,1308.22478364,113815.29517697,1.76577,100.5419,3.25,1837020.62102728,118044.92032767
2001-06,1.5225,1.5214,1.7827,1.796,50673.97811334,36220.07709076,2278.93066361,5667.26091243,366.75853538,1136.50104449,121655.99208087,1.580429,100.3157,3.25,1841260.17081731,117828.723936146
2001-07,1.5134,1.5107,1.7602,1.7256,50590.90910467,35956.02282864,2474.26559498,5667.84155353,366.75853538,1156.42323829,115182.91061581,1.351633,100.099,3.2,1845865.7,117602
2001-08,1.5144,1.5159,1.6799,1.6514,51848.90326499,35696.32070986,2411.09890792,5820.29026137,366.75853538,1104.27251174,116828.50482323,1.050885,99.75282,3.3,1850729.97882738,117484.509743079
2001-09,1.4919,1.4766,1.6386,1.6133,49403.14163881,34291.85920404,2598.38577235,5968.94135198,339.18796824,1347.0694183,114516.39625982,0.6749848,99.20957,2.12,1855899.45603989,117438.702586336
2001-10,1.4796,1.4692,1.6329,1.6234,49716.6573682,33909.28267543,2588.24237088,6005.09275524,339.18796824,1502.44423402,109337.60956934,0.6302018,98.72483,2.15,1861459,117387.7
2001-11,1.4665,1.4717,1.6509,1.6614,49751.26875564,33547.95157213,2450.41306201,6082.80857764,339.18796824,1370.44206475,110635.36953339,0.2869489,98.51062,2.18,1867398.82292242,117279.148107423
2001-12,1.4743,1.4813,1.6498,1.6782,50580.83552764,32982.36378009,2665.71592877,5999.9919545,347.17724891,1115.02877235,120153.13580361,0.3251991,98.58107,1.65,1873330.51243058,117158.791644438
2002-01,1.4738,1.4745,1.6681,1.7077,50729.4754433,32608.2552145,2665.81592877,6056.54039633,347.17724891,1143.07807718,113399.31805723,0.5214534,98.8295,1.42,1878771,117096.9
2002-02,1.4774,1.4766,1.6979,1.7052,50575.08042108,32246.65022013,2679.58254149,5930.76025303,347.17724891,1209.15566759,112117.39415068,0.6544999,99.09192,1.68,1883470.78874215,117142.905234638
2002-03,1.468,1.4656,1.6753,1.6806,51130.60501741,34906.21089005,2561.98182663,5949.75348066,340.59021734,1124.41358181,118808.69839352,0.5094852,99.2677,1.32,1888114.66831191,117262.890095173
2002-04,1.466,1.4636,1.6549,1.6204,48402.59201598,34523.94403328,2652.0166976,6075.19274191,340.59021734,1128.80759404,115638.06538989,1.097221,99.40505,1.51,1893621,117402.1
2002-05,1.4567,1.4635,1.5876,1.5613,49940.57218617,34125.19235747,2494.53920296,6165.26586995,340.59021734,1140.26999284,119786.01763729,0.6480272,99.48386,1.03,1900551.2739608,117512.956879952
2002-06,1.4716,1.4725,1.5408,1.4835,49408.94859733,31396.92942376,2746.46404273,6375.51489897,324.38846295,1567.26926124,122430.63920241,0.3258601,99.51083,1.02,1908039.49580329,117576.588715613
2002-07,1.4626,1.4547,1.474,1.4864,50973.26903829,31009.62035527,2653.96113099,6445.09870666,324.38846295,1594.19424657,115995.67759388,-0.05166746,99.47424,0.64,1914862.8,117581.3
2002-08,1.4639,1.4688,1.4977,1.4914,49968.81833698,30657.05636213,2693.66391507,6619.82378836,324.38846295,1600.4058615,116726.33716394,0.4725541,99.36943,0.6,1920084.62652571,117522.163541849
2002-09,1.4651,1.4637,1.4938,1.4885,52866.97696139,30704.00026096,2653.73006427,6893.43135495,322.960635,1220.97483855,122244.42193898,0.4968977,99.25015,0.65,1923913.63736385,117421.325412748
2002-10,1.4649,1.4627,1.4929,1.4823,53990.5557045,30310.55252391,2653.73006427,6987.05041607,322.960635,1221.67110691,118787.10336878,1.23712,99.10555,0.53,1926844.8,117307.7
2002-11,1.4673,1.4756,1.4651,1.487,54414.19961287,29943.93211307,2618.58031886,6955.91254164,322.960635,1289.52165368,117548.64634514,0.9155459,99.00463,0.59,1929306.186603,117209.159323023
2002-12,1.468,1.4525,1.441,1.3872,52941.1847025,29339.5984547,2669.82903421,7018.3538278,316.46801966,1587.86408016,121983.25292975,0.8908195,98.89622,0.44,1931458.28807466,117149.405929692
2003-01,1.4623,1.4671,1.3759,1.3562,54014.10483129,28960.99354455,2632.95746073,7018.54461213,316.46172761,1733.48756738,114137.10707685,0.8467,98.7504,0.48,1933394.7,117151.1
2003-02,1.4672,1.463,1.3616,1.3606,53270.52416651,28630.49094321,2632.95746073,7136.76071366,312.64395998,2153.09463328,114605.89077949,0.9491754,98.55353,0.49,1935388.1566919,117234.051017912
2003-03,1.469,1.4765,1.3592,1.358,53577.68358746,27075.58150704,2615.7433578,7138.2390783,305.8003734,1373.06065174,115954.06963627,1.339085,98.46895,0.17,1938427.94737456,117406.665683297
2003-04,1.4954,1.5116,1.3773,1.3595,52860.49607938,26715.61371492,2774.57406136,7264.98839507,313.40478132,1384.58462438,114838.41707849,0.671791,98.43266,0.11,1943682.5,117674.5
2003-05,1.5148,1.5292,1.3097,1.292,52869.11135497,26367.04945846,2745.21157603,7357.81418958,313.40478132,1402.75977597,120143.90882886,0.4140629,98.46595,0.1,1951791.6051479,118037.855123848
2003-06,1.5399,1.5518,1.3189,1.3561,56197.94117066,26806.24953463,2941.05636305,7499.5846821,327.61978034,1291.99892388,125758.72528347,0.5481158,98.49523,0.13,1961280.50390859,118476.012818601
2003-07,1.5471,1.5479,1.3601,1.3663,59286.92389091,26390.66715141,2734.31543253,7629.21365896,352.27327782,1323.10974426,125029.28677791,0.2705293,98.58102,0.08,1970145.8,118963
2003-08,1.5404,1.5373,1.3816,1.4093,58415.33404023,26052.8380399,2734.41543253,7659.27864593,352.27327782,1340.61828798,123536.17125987,0.5372521,98.78052,0.08,1976930.80790165,119471.44330151
2003-09,1.5469,1.5383,1.3788,1.3192,56167.11477921,27847.58336658,2785.15723413,7605.7485378,349.06773866,1495.23464634,122774.35751173,0.530364,99.05247,0.11,1982365.68513925,119968.368227485
2003-10,1.5481,1.5492,1.3224,1.331,56777.94578477,27445.98518204,2710.85387906,7690.71305519,349.06768503,1507.62860374,117888.39089104,0.4537735,99.40728,0.1,1987727.3,120419.4
2003-11,1.5587,1.5485,1.3318,1.2938,58224.81862038,27171.90824543,2696.77641728,7725.04031911,343.83056213,1515.27344242,120836.33906563,0.5126108,99.75053,0.11,1994025.22620842,120797.634633074
2003-12,1.5549,1.5586,1.2664,1.236,56311.72971353,27128.03288242,2561.88866342,7657.86474905,327.21452941,1630.59477715,122797.65010814,0.5938203,99.95225,0.09,2001199.85923814,121106.051308497
2004-01,1.5661,1.5612,1.2417,1.2628,58661.64622273,26729.39252827,2561.88866342,7674.56988132,327.21452941,1667.12561993,119317.87030734,0.172403,99.95749,0.1,2008924.3,121355.1
