"CubeId";"snbbipo"
"PublishingDate";"2017-02-28 09:00"

"Date";"D0";"Value"
"1999-01";"GFG";"11930.2"
"1999-01";"D";"50297.3"
"1999-01";"RIWF";"3070.7"
"1999-01";"W";"767.9"
"1999-01";"WSF";"4996.5"
"1999-01";"UA";"1206"
"1999-01";"T0";"88349.3"
"1999-02";"GFG";"11930.2"
"1999-02";"D";"48823.4"
"1999-02";"RIWF";"3150.4"
"1999-02";"W";"711.5"
"1999-02";"WSF";"4984.5"
"1999-02";"UA";"1249.8"
"1999-02";"T0";"86509.3"
"1999-03";"GFG";"11923.3"
"1999-03";"D";"50415.5"
"1999-03";"RIWF";"3375.4"
"1999-03";"W";"283.2"
"1999-03";"WSF";"4947.6"
"1999-03";"UA";"1507.3"
"1999-03";"T0";"88255.4"
"1999-04";"GFG";"11923.3"
"1999-04";"D";"50201.2"
"1999-04";"RIWF";"3122.5"
"1999-04";"W";"283.2"
"1999-04";"WSF";"4966.6"
"1999-04";"UA";"1200.1"
"1999-04";"T0";"89016.3"
"1999-05";"GFG";"11923.3"
"1999-05";"D";"49162.1"
"1999-05";"RIWF";"3122.6"
"1999-05";"W";"283.2"
"1999-05";"WSF";"4935.7"
"1999-05";"UA";"1265.6"
"1999-05";"T0";"91899.4"
"1999-06";"GFG";"11917.8"
"1999-06";"D";"51930.8"
"1999-06";"RIWF";"3138.3"
"1999-06";"W";"290.1"
"1999-06";"WSF";"4819.9"
"1999-06";"UA";"1145.3"
"1999-06";"T0";"94496.2"
"1999-07";"GFG";"11917.8"
"1999-07";"D";"48597.1"
"1999-07";"RIWF";"3138.3"
"1999-07";"W";"290.1"
"1999-07";"WSF";"4850.6"
"1999-07";"UA";"1186"
"1999-07";"T0";"92512.6"
"1999-08";"GFG";"11917.8"
"1999-08";"D";"50633.3"
"1999-08";"RIWF";"2813.7"
"1999-08";"W";"290.1"
"1999-08";"WSF";"4883"
"1999-08";"UA";"1177.6"
"1999-08";"T0";"95865.7"
"1999-09";"GFG";"11929.2"
"1999-09";"D";"50641.8"
"1999-09";"RIWF";"2722.7"
"1999-09";"W";"290.4"
"1999-09";"WSF";"4828.1"
"1999-09";"UA";"1192.1"
"1999-09";"T0";"91685.1"
"1999-10";"GFG";"11929.2"
"1999-10";"D";"50851.5"
"1999-10";"RIWF";"2718.1"
"1999-10";"W";"290.4"
"1999-10";"WSF";"4870.9"
"1999-10";"UA";"1176.8"
"1999-10";"T0";"90856.4"
"1999-11";"GFG";"11929.2"
"1999-11";"D";"50216.2"
"1999-11";"RIWF";"2550.2"
"1999-11";"W";"290.4"
"1999-11";"WSF";"4897.3"
"1999-11";"UA";"1498"
"1999-11";"T0";"91827.6"
"1999-12";"GFG";"11938.6"
"1999-12";"D";"54608.2"
"1999-12";"RIWF";"2677.6"
"1999-12";"W";"306.5"
"1999-12";"WSF";"4884.9"
"1999-12";"UA";"1139.9"
"1999-12";"T0";"104838.9"
"2000-01";"GFG";"11938.6"
"2000-01";"D";"48824.6"
"2000-01";"RIWF";"2614"
"2000-01";"W";"306.5"
"2000-01";"WSF";"4910.3"
"2000-01";"UA";"1201.3"
"2000-01";"T0";"92443.5"
"2000-02";"GFG";"11938.6"
"2000-02";"D";"46080.6"
"2000-02";"RIWF";"2614.1"
"2000-02";"W";"306.5"
"2000-02";"WSF";"4992.3"
"2000-02";"UA";"1198.4"
"2000-02";"T0";"89601.8"
"2000-03";"GFG";"11944.7"
"2000-03";"D";"46833.3"
"2000-03";"RIWF";"2699.4"
"2000-03";"W";"313.9"
"2000-03";"WSF";"4820"
"2000-03";"UA";"1115.3"
"2000-03";"T0";"89021.5"
"2000-04";"GFG";"11944.7"
"2000-04";"D";"46988"
"2000-04";"RIWF";"2399.6"
"2000-04";"W";"313.9"
"2000-04";"WSF";"4863.3"
"2000-04";"UA";"1221.3"
