"CubeId";"zimoma"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"Value"
"1999-01";"1TGT";"1"
"1999-02";"1TGT";"1.125"
"1999-03";"1TGT";"1"
"1999-04";"1TGT";"0.875"
"1999-05";"1TGT";"0.875"
"1999-06";"1TGT";"1"
"1999-07";"1TGT";"0.75"
"1999-08";"1TGT";"0.75"
"1999-09";"1TGT";"1.125"
"1999-10";"1TGT";"0.875"
"1999-11";"1TGT";"0.875"
"1999-12";"1TGT";"1.09375"
"2000-01";"1TGT";"2.0625"
"2000-02";"1TGT";"1.8"
"2000-03";"1TGT";"2.35"
"2000-04";"1TGT";"2.95"
"2000-05";"1TGT";"2.7"
"2000-06";"1TGT";"3.05"
"2000-07";"1TGT";"3"
"2000-08";"1TGT";"2.96"
"2000-09";"1TGT";"3.1"
"2000-10";"1TGT";"3.08"
"2000-11";"1TGT";"2.93"
"2000-12";"1TGT";"3.5"
"2001-01";"1TGT";"3.36"
"2001-02";"1TGT";"3.3"
"2001-03";"1TGT";"3.35"
"2001-04";"1TGT";"3.1"
"2001-05";"1TGT";"3.25"
"2001-06";"1TGT";"3.25"
"2001-07";"1TGT";"3.2"
"2001-08";"1TGT";"3.3"
"2001-09";"1TGT";"2.12"
"2001-10";"1TGT";"2.15"
"2001-11";"1TGT";"2.18"
"2001-12";"1TGT";"1.65"
"2002-01";"1TGT";"1.42"
"2002-02";"1TGT";"1.68"
"2002-03";"1TGT";"1.32"
"2002-04";"1TGT";"1.51"
"2002-05";"1TGT";"1.03"
"2002-06";"1TGT";"1.02"
"2002-07";"1TGT";"0.64"
"2002-08";"1TGT";"0.6"
"2002-09";"1TGT";"0.65"
"2002-10";"1TGT";"0.53"
"2002-11";"1TGT";"0.59"
"2002-12";"1TGT";"0.44"
"2003-01";"1TGT";"0.48"
"2003-02";"1TGT";"0.49"
"2003-03";"1TGT";"0.17"
"2003-04";"1TGT";"0.11"
"2003-05";"1TGT";"0.1"
"2003-06";"1TGT";"0.13"
"2003-07";"1TGT";"0.08"
"2003-08";"1TGT";"0.08"
"2003-09";"1TGT";"0.11"
"2003-10";"1TGT";"0.1"
"2003-11";"1TGT";"0.11"
"2003-12";"1TGT";"0.09"
"2004-01";"1TGT";"0.1"
"2004-02";"1TGT";"0.09"
"2004-03";"1TGT";"0.1"
"2004-04";"1TGT";"0.12"
"2004-05";"1TGT";"0.1"
"2004-06";"1TGT";"0.36"
"2004-07";"1TGT";"0.22"
"2004-08";"1TGT";"0.18"
"2004-09";"1TGT";"0.54"
"2004-10";"1TGT";"0.58"
"2004-11";"1TGT";"0.45"
"2004-12";"1TGT";"0.55"
"2005-01";"1TGT";"0.6"
"2005-02";"1TGT";"0.63"
"2005-03";"1TGT";"0.75"
"2005-04";"1TGT";"0.64"
"2005-05";"1TGT";"0.66"
"2005-06";"1TGT";"0.58"
"2005-07";"1TGT";"0.63"
"2005-08";"1TGT";"0.63"
"2005-09";"1TGT";"0.63"
"2005-10";"1TGT";"0.61"
"2005-11";"1TGT";"0.63"
"2005-12";"1TGT";"0.63"
"2006-01";"1TGT";"0.75"
"2006-02";"1TGT";"0.91"
"2006-03";"1TGT";"1.03"
"2006-04";"1TGT";"1.22"
"2006-05";"1TGT";"1.16"
"2006-06";"1TGT";"1.27"
"2006-07";"1TGT";"1.3"
"2006-08";"1TGT";"1.33"
"2006-09";"1TGT";"1.61"
"2006-10";"1TGT";"1.59"
"2006-11";"1TGT";"1.87"
"2006-12";"1TGT";"1.94"
"2007-01";"1TGT";"2.02"
"2007-02";"1TGT";"1.94"
"2007-03";"1TGT";"1.98"
"2007-04";"1TGT";"2.1"
"2007-05";"1TGT";"2.18"
