"CubeId";"devkum"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"D1";"Value"
"1999-01";"M0";"EUR1";"1.6052"
"1999-01";"M0";"GBP1";"2.281"
"1999-01";"M0";"DKK100";"21.564"
"1999-01";"M0";"NOK100";"18.56"
"1999-01";"M0";"CZK100";"4.4847"
"1999-01";"M0";"HUF100";"0.6397"
"1999-01";"M0";"PLN100";"39.142"
"1999-01";"M0";"RUB100";"6.025"
"1999-01";"M0";"SEK100";"17.6655"
"1999-01";"M0";"TRY100";"0.000426"
"1999-01";"M0";"USD1";"1.3824"
"1999-01";"M0";"CAD1";"0.909"
"1999-01";"M0";"ARS100";"138.279"
"1999-01";"M0";"BRL100";"95.0595"
"1999-01";"M0";"MXN100";"13.6595"
"1999-01";"M0";"ZAR1";"0.2306"
"1999-01";"M0";"JPY100";"1.22263"
"1999-01";"M0";"AUD1";"0.87332"
"1999-01";"M0";"CNY100";"16.73052381"
"1999-01";"M0";"HKD100";"17.842945"
"1999-01";"M0";"KRW100";"0.1179"
"1999-01";"M0";"MYR100";"36.403"
"1999-01";"M0";"NZD1";"0.7439"
"1999-01";"M0";"SGD100";"82.362"
"1999-01";"M0";"THB100";"3.7834"
"1999-01";"M0";"XDR1";"1.943289"
"1999-01";"M1";"EUR1";"1.6131"
"1999-01";"M1";"GBP1";"2.3307"
"1999-01";"M1";"DKK100";"21.69"
"1999-01";"M1";"NOK100";"18.84"
"1999-01";"M1";"CZK100";"4.3765"
"1999-01";"M1";"HUF100";"0.6461"
"1999-01";"M1";"PLN100";"38.63"
"1999-01";"M1";"RUB100";"6.14"
"1999-01";"M1";"SEK100";"18.18"
"1999-01";"M1";"TRY100";"0.0004246"
"1999-01";"M1";"USD1";"1.4157"
"1999-01";"M1";"CAD1";"0.9326"
"1999-01";"M1";"ARS100";"141.63"
"1999-01";"M1";"BRL100";"68.39"
"1999-01";"M1";"MXN100";"13.93"
"1999-01";"M1";"ZAR1";"0.2344"
"1999-01";"M1";"JPY100";"1.2161"
"1999-01";"M1";"AUD1";"0.8912"
"1999-01";"M1";"CNY100";"17.108"
"1999-01";"M1";"HKD100";"18.2711"
"1999-01";"M1";"KRW100";"0.1206"
"1999-01";"M1";"MYR100";"37.26"
"1999-01";"M1";"NZD1";"0.7609"
"1999-01";"M1";"SGD100";"83.7445"
"1999-01";"M1";"THB100";"3.847"
"1999-01";"M1";"XDR1";"1.96986"
"1999-02";"M0";"EUR1";"1.5983"
"1999-02";"M0";"GBP1";"2.3215"
"1999-02";"M0";"DKK100";"21.4925"
"1999-02";"M0";"NOK100";"18.4575"
"1999-02";"M0";"CZK100";"4.2296"
"1999-02";"M0";"HUF100";"0.6388"
"1999-02";"M0";"PLN100";"37.6395"
"1999-02";"M0";"RUB100";"6.154"
"1999-02";"M0";"SEK100";"17.925"
"1999-02";"M0";"TRY100";"0.000415"
"1999-02";"M0";"USD1";"1.4256"
"1999-02";"M0";"CAD1";"0.9518"
"1999-02";"M0";"ARS100";"142.593"
"1999-02";"M0";"BRL100";"75.158"
"1999-02";"M0";"MXN100";"14.286"
"1999-02";"M0";"ZAR1";"0.2328"
"1999-02";"M0";"JPY100";"1.22186"
"1999-02";"M0";"AUD1";"0.91147"
"1999-02";"M0";"CNY100";"17.24225"
"1999-02";"M0";"HKD100";"18.39981"
"1999-02";"M0";"KRW100";"0.1202"
"1999-02";"M0";"MYR100";"37.5425"
"1999-02";"M0";"NZD1";"0.7745"
"1999-02";"M0";"SGD100";"83.9058"
"1999-02";"M0";"THB100";"3.8474"
"1999-02";"M0";"XDR1";"1.968885"
"1999-02";"M1";"EUR1";"1.5886"
"1999-02";"M1";"GBP1";"2.3107"
"1999-02";"M1";"DKK100";"21.36"
"1999-02";"M1";"NOK100";"18.24"
"1999-02";"M1";"CZK100";"4.2058"
"1999-02";"M1";"HUF100";"0.6263"
"1999-02";"M1";"PLN100";"36.6"
"1999-02";"M1";"RUB100";"6.24"
"1999-02";"M1";"SEK100";"17.63"
"1999-02";"M1";"TRY100";"0.0004078"
"1999-02";"M1";"USD1";"1.4421"
"1999-02";"M1";"CAD1";"0.9535"
"1999-02";"M1";"ARS100";"144.26"
"1999-02";"M1";"BRL100";"71.04"
"1999-02";"M1";"MXN100";"14.6"
"1999-02";"M1";"ZAR1";"0.233"
"1999-02";"M1";"JPY100";"1.1967"
"1999-02";"M1";"AUD1";"0.8941"
"1999-02";"M1";"CNY100";"17.478"
"1999-02";"M1";"HKD100";"18.6149"
"1999-02";"M1";"KRW100";"0.118"
"1999-02";"M1";"MYR100";"37.95"
"1999-02";"M1";"NZD1";"0.7551"
"1999-02";"M1";"SGD100";"83.77"
"1999-02";"M1";"THB100";"3.8662"
"1999-02";"M1";"XDR1";"1.97091"
"1999-03";"M0";"EUR1";"1.5948"
"1999-03";"M0";"GBP1";"2.3724"
"1999-03";"M0";"DKK100";"21.4483"
"1999-03";"M0";"NOK100";"18.7283"
"1999-03";"M0";"CZK100";"4.1952"
"1999-03";"M0";"HUF100";"0.629"
"1999-03";"M0";"PLN100";"37.1878"
"1999-03";"M0";"RUB100";"6.0578"
"1999-03";"M0";"SEK100";"17.8178"
"1999-03";"M0";"TRY100";"0.000403"
"1999-03";"M0";"USD1";"1.4647"
"1999-03";"M0";"CAD1";"0.9654"
"1999-03";"M0";"ARS100";"146.5009"
"1999-03";"M0";"BRL100";"77.7378"
"1999-03";"M0";"MXN100";"15.0796"
"1999-03";"M0";"ZAR1";"0.2356"
"1999-03";"M0";"JPY100";"1.224191"
"1999-03";"M0";"AUD1";"0.923026"
"1999-03";"M0";"CNY100";"17.69947826"
"1999-03";"M0";"HKD100";"18.902787"
"1999-03";"M0";"KRW100";"0.1196"
"1999-03";"M0";"MYR100";"38.5509"
"1999-03";"M0";"NZD1";"0.779"
"1999-03";"M0";"SGD100";"84.7423"
"1999-03";"M0";"THB100";"3.9124"
"1999-03";"M0";"XDR1";"1.997561"
"1999-03";"M1";"EUR1";"1.5967"
"1999-03";"M1";"GBP1";"2.3913"
"1999-03";"M1";"DKK100";"21.48"
"1999-03";"M1";"NOK100";"19.11"
"1999-03";"M1";"CZK100";"4.1682"
"1999-03";"M1";"HUF100";"0.6302"
"1999-03";"M1";"PLN100";"37.28"
"1999-03";"M1";"RUB100";"5.94"
"1999-03";"M1";"SEK100";"17.93"
"1999-03";"M1";"TRY100";"0.0003994"
"1999-03";"M1";"USD1";"1.4876"
"1999-03";"M1";"CAD1";"0.9849"
"1999-03";"M1";"ARS100";"148.87"
"1999-03";"M1";"BRL100";"86.74"
"1999-03";"M1";"MXN100";"15.64"
"1999-03";"M1";"ZAR1";"0.2395"
"1999-03";"M1";"JPY100";"1.2415"
"1999-03";"M1";"AUD1";"0.9361"
"1999-03";"M1";"CNY100";"17.841"
"1999-03";"M1";"HKD100";"19.1973"
"1999-03";"M1";"KRW100";"0.1213"
"1999-03";"M1";"MYR100";"39.15"
"1999-03";"M1";"NZD1";"0.7926"
"1999-03";"M1";"SGD100";"86.1628"
"1999-03";"M1";"THB100";"3.9617"
"1999-03";"M1";"XDR1";"2.01938"
"1999-04";"M0";"EUR1";"1.6019"
"1999-04";"M0";"GBP1";"2.41"
"1999-04";"M0";"DKK100";"21.547"
"1999-04";"M0";"NOK100";"19.252"
"1999-04";"M0";"CZK100";"4.2244"
"1999-04";"M0";"HUF100";"0.6349"
"1999-04";"M0";"PLN100";"37.553"
"1999-04";"M0";"RUB100";"5.8885"
"1999-04";"M0";"SEK100";"17.9625"
"1999-04";"M0";"TRY100";"0.000391"
"1999-04";"M0";"USD1";"1.4962"
"1999-04";"M0";"CAD1";"1.0052"
"1999-04";"M0";"ARS100";"149.655"
"1999-04";"M0";"BRL100";"88.4635"
"1999-04";"M0";"MXN100";"15.904"
"1999-04";"M0";"ZAR1";"0.2445"
"1999-04";"M0";"JPY100";"1.25205"
"1999-04";"M0";"AUD1";"0.96087"
"1999-04";"M0";"CNY100";"18.04731818"
"1999-04";"M0";"HKD100";"19.30946"
"1999-04";"M0";"KRW100";"0.1249"
"1999-04";"M0";"MYR100";"39.3765"
"1999-04";"M0";"NZD1";"0.8127"
"1999-04";"M0";"SGD100";"87.4894"
"1999-04";"M0";"THB100";"3.9846"
"1999-04";"M0";"XDR1";"2.029919"
"1999-04";"M1";"EUR1";"1.6128"
"1999-04";"M1";"GBP1";"2.4514"
"1999-04";"M1";"DKK100";"21.71"
"1999-04";"M1";"NOK100";"19.53"
"1999-04";"M1";"CZK100";"4.2744"
"1999-04";"M1";"HUF100";"0.6429"
"1999-04";"M1";"PLN100";"38.49"
"1999-04";"M1";"RUB100";"6.18"
"1999-04";"M1";"SEK100";"18.1"
"1999-04";"M1";"TRY100";"0.000388"
"1999-04";"M1";"USD1";"1.5208"
"1999-04";"M1";"CAD1";"1.0381"
"1999-04";"M1";"ARS100";"152.14"
"1999-04";"M1";"BRL100";"91.39"
"1999-04";"M1";"MXN100";"16.37"
"1999-04";"M1";"ZAR1";"0.2501"
"1999-04";"M1";"JPY100";"1.2714"
"1999-04";"M1";"AUD1";"1.0007"
"1999-04";"M1";"CNY100";"18.397"
"1999-04";"M1";"HKD100";"19.6212"
"1999-04";"M1";"KRW100";"0.128"
"1999-04";"M1";"MYR100";"40.02"
"1999-04";"M1";"NZD1";"0.8477"
"1999-04";"M1";"SGD100";"89.6698"
"1999-04";"M1";"THB100";"4.1047"
"1999-04";"M1";"XDR1";"2.05522"
"1999-05";"M0";"EUR1";"1.6028"
"1999-05";"M0";"GBP1";"2.4329"
"1999-05";"M0";"DKK100";"21.5605"
"1999-05";"M0";"NOK100";"19.4526"
"1999-05";"M0";"CZK100";"4.2503"
"1999-05";"M0";"HUF100";"0.6405"
"1999-05";"M0";"PLN100";"38.3684"
"1999-05";"M0";"RUB100";"6.0884"
"1999-05";"M0";"SEK100";"17.8542"
"1999-05";"M0";"TRY100";"0.00038"
"1999-05";"M0";"USD1";"1.5071"
"1999-05";"M0";"CAD1";"1.0311"
"1999-05";"M0";"ARS100";"150.7474"
"1999-05";"M0";"BRL100";"89.6321"
"1999-05";"M0";"MXN100";"16.0421"
"1999-05";"M0";"ZAR1";"0.2437"
"1999-05";"M0";"JPY100";"1.237374"
"1999-05";"M0";"AUD1";"0.997158"
"1999-05";"M0";"CNY100";"18.21795238"
"1999-05";"M0";"HKD100";"19.440695"
"1999-05";"M0";"KRW100";"0.126"
"1999-05";"M0";"MYR100";"39.6626"
"1999-05";"M0";"NZD1";"0.8321"
"1999-05";"M0";"SGD100";"88.0028"
"1999-05";"M0";"THB100";"4.0749"
"1999-05";"M0";"XDR1";"2.03247"
"1999-05";"M1";"EUR1";"1.5935"
"1999-05";"M1";"GBP1";"2.4408"
"1999-05";"M1";"DKK100";"21.43"
"1999-05";"M1";"NOK100";"19.32"
"1999-05";"M1";"CZK100";"4.2234"
"1999-05";"M1";"HUF100";"0.6373"
"1999-05";"M1";"PLN100";"38.41"
"1999-05";"M1";"RUB100";"6.12"
"1999-05";"M1";"SEK100";"17.73"
"1999-05";"M1";"TRY100";"0.0003746"
"1999-05";"M1";"USD1";"1.523"
"1999-05";"M1";"CAD1";"1.0327"
"1999-05";"M1";"ARS100";"152.33"
"1999-05";"M1";"BRL100";"88.6"
"1999-05";"M1";"MXN100";"15.69"
"1999-05";"M1";"ZAR1";"0.2447"
"1999-05";"M1";"JPY100";"1.2545"
"1999-05";"M1";"AUD1";"0.9884"
"1999-05";"M1";"CNY100";"18.391"
"1999-05";"M1";"HKD100";"19.6402"
"1999-05";"M1";"KRW100";"0.1284"
